fillingLimit;name;avgFillingRatePerDay;fillingRate;serialNumber;collectFrequency;fillingRateDate;localisationfo_streetbis;localisationfo_town;localisationfo_name;localisationfo_country;localisationfo_number;localisationfo_street;localisationfo_postalcode;wastecontainermodelfo_usefulcapacity;wastecontainermodelfo_model;wastecontainermodelfo_type;wastecontainermodelfo_manufacturer;wastetype_designation;wastetype_density;geo
100;19025-V 001;9;17;19025-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19025;France;19025;75, Avenue de Flandres;75019;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.889013, 2.374225
100;19030-PM 001;12;88;19030-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19030;France;19030;95, Rue Petit;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.886446, 2.392375
100;19038-P 001;0;100;19038-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19038;France;19038;38, Quai de la Loire;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.884968, 2.374505
100;18016-V 001;6;31;18016-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;18016;France;18016;29, Rue des Roses;75018;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.893238, 2.360379
100;18020-V 001;5;30;18020-V 001;c300;2018-12-22T13:00:00+01:00;;Paris;18020;France;18020;7, Rue Marcadet;75018;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.890155, 2.354943
100;2005-PM 001;16;100;2005-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;2005;France;2005;6, Rue Feydau;75002;770;Modèle 770L TRILIB (1190);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.870111, 2.341539
100;2003-V 001;24;66;2003-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;2003;France;2003;1, Rue Saint-Philippe;75002;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.868762, 2.349551
100;2003-P 001;16;80;2003-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;2003;France;2003;1, Rue Saint-Philippe;75002;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.868762, 2.349551
100;2001-P 001;9;26;2001-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;2001;France;2001;5, Rue du Ponceau;75002;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.866754, 2.351747
100;2007-P 001;15;20;2007-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;2007;France;2007;7, Rue Monsigny;75002;770;Modèle 770L TRILIB (1210);aerial;PLASTIC OMNIUM;CB;0.2;48.868618, 2.335168
100;2003-PM 001;8;8;2003-PM 001;c400;2018-12-21T21:00:00+01:00;;Paris;2003;France;2003;1, Rue Saint-Philippe;75002;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.868762, 2.349551
100;19039-V 001;2;32;19039-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19039;France;19039;7, Quai de la Seine;75019;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.884586, 2.370094
100;19033-PM 001;19;100;19033-PM 001;c400;2018-12-22T13:00:00+01:00;;Paris;19033;France;19033;5, Rue de l’égalité;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.881307, 2.394232
